98.27,352.23,77.97,113.59
96.9,571.44,91.55,327.1
93.95,562.98,87.77,319.05
92.79,439.03,78.83,205.87
93.08,432.64,78.77,200.02
86.16,363.69,65.81,126.42
83.49,395.28,65.88,160.62
76.28,417.91,60.33,184.46
76.28,417.91,60.33,184.46
69.43,617.62,68.94,364.63
63.16,370.09,42.22,133.63
63.46,360.27,41.15,122.69
62.38,582.41,59.91,337.73
58.46,444.27,44.7,211.15
58.46,444.27,44.7,211.15
56.66,541.23,51.21,301.74
56.66,541.23,51.21,301.74
54.94,516.47,47.46,279.62
51.45,400.76,33.47,166.75
51.25,381.18,30.74,145.5
43.16,579.27,41.69,334.24
43.17,394.18,24.03,159.58
36.82,565.58,34.96,322.78
34.73,397.69,15.18,163.51
21.81,484.54,12.49,250.38
17.41,498.37,9.52,263.45
17.41,498.37,9.52,263.45
15.11,482.86,5.45,248.92
8.38,587.55,10.92,341.57
8.38,587.55,10.92,341.57
348.97,375.31,342.09,133.29
302.98,460.95,287.41,223.07
285.56,486.24,268.78,247.5
263.27,529.66,245.46,288.16
242.38,544.62,225.04,301.34
239.4,464.79,224.54,228.57
239.12,459.48,224.69,223.43
234.6,377.84,222.59,140.02
230.04,306.38,220.06,57.9
222.05,474.59,207.51,239.07
222.05,474.59,207.51,239.07
185.04,558.16,171.78,314.82
180.17,395.58,166.08,160.01
178.4,375.18,164.05,138.65
166.18,419.42,152.02,185.42
165.57,410.26,151.27,175.97
162.64,418.46,148.43,184.54
159.79,267.7,141.33,11.85
159.32,273.86,141.05,19.63
159.2,364.86,143.72,127.23
151.79,634.1,142.76,377.22
149.14,339.34,132.19,98.81
145.63,414.51,130.99,180.35
143.78,386.2,128.13,150.79
143.09,377.63,127.08,141.48
126.37,304.36,105.85,57.32
121.69,264.24,98.24,7.17
119.4,281.57,97.03,29.28
117.06,464.25,104.43,230.16
117.06,464.25,104.43,230.16
104.58,277.07,79.06,23.82
104.58,277.07,79.06,23.82
102.3,291.76,77.95,42.46
100.02,309.4,76.76,63.55
100.02,309.4,76.76,63.55
96.79,315.76,73.87,71.53
96.79,315.76,73.87,71.53
94.54,353.21,74.12,114.83
94.02,594.9,89.69,346.53
94.02,594.9,89.69,346.53
93.2,516.67,84.13,279.12
89.86,592.81,86.1,344.99
87.42,398.39,70.23,164.23
84.42,598.43,81.03,349.22
